date,city,country,device_category,session_source,session_medium,total_users,new_users,active_users,sessions,engaged_sessions,average_session_duration,screen_page_views
2024-10-08,Rio de Janeiro,Brazil,desktop,(direct),(none),11,11,11,18,12,948.7963690000001,27
2024-10-08,Rio de Janeiro,Brazil,desktop,youtube.com,referral,11,9,11,15,11,200.23497106666667,16
2024-10-08,Sao Paulo,Brazil,desktop,youtube.com,referral,10,9,10,12,4,16.20046075,10
2024-10-08,Sao Paulo,Brazil,desktop,(direct),(none),9,9,9,11,4,21.02320690909091,12
2024-10-08,Fortaleza,Brazil,desktop,youtube.com,referral,7,6,7,10,7,206.9068722,11
2024-10-08,Recife,Brazil,desktop,youtube.com,referral,6,4,6,7,1,145.38617157142858,4
2024-10-08,Sao Paulo,Brazil,mobile,(direct),(none),6,5,6,6,2,29.05428783333333,5
2024-10-08,Sao Paulo,Brazil,mobile,youtube.com,referral,6,6,6,7,4,60.57007814285714,7
2024-10-08,Belo Horizonte,Brazil,desktop,youtube.com,referral,5,5,5,7,3,25.19698728571429,5
2024-10-08,(not set),(not set),mobile,(direct),(none),4,4,4,4,1,26.6504355,4
2024-10-08,(not set),Brazil,desktop,youtube.com,referral,4,4,4,4,4,948.42206725,4
2024-10-08,(not set),Brazil,mobile,(direct),(none),4,3,4,4,2,287.98677825,3
2024-10-08,Brasilia,Brazil,desktop,youtube.com,referral,4,4,4,5,3,614.5102626,6
2024-10-08,Porto Alegre,Brazil,desktop,(direct),(none),4,4,4,6,2,117.80478366666667,118
2024-10-08,Sao Jose do Rio Preto,Brazil,desktop,youtube.com,referral,4,4,4,7,4,367.81914885714286,5
2024-10-08,(not set),Brazil,mobile,youtube.com,referral,3,3,3,3,0,0.0,3
2024-10-08,Bauru,Brazil,desktop,youtube.com,referral,3,3,3,3,2,141.11670733333332,3
2024-10-08,Campina Grande,Brazil,desktop,(direct),(none),3,3,3,4,2,438.67631150000005,4
2024-10-08,Campinas,Brazil,desktop,(direct),(none),3,3,3,4,3,27.434773,4
2024-10-08,Curitiba,Brazil,desktop,youtube.com,referral,3,3,3,4,3,305.6756715,3
2024-10-08,Fortaleza,Brazil,desktop,8nwyj3ffk1h.typeform.com,referral,3,3,3,3,3,182.89219133333333,4
2024-10-08,Recife,Brazil,desktop,(direct),(none),3,3,3,4,3,202.37884725,5
2024-10-08,Rio de Janeiro,Brazil,desktop,8nwyj3ffk1h.typeform.com,referral,3,3,3,5,4,341.3084788,6
2024-10-08,Salvador,Brazil,desktop,(direct),(none),3,3,3,4,2,724.959828,3
2024-10-08,Salvador,Brazil,desktop,youtube.com,referral,3,3,3,5,1,354.9360056,3
2024-10-08,(not set),Brazil,desktop,8nwyj3ffk1h.typeform.com,referral,2,2,2,2,1,27.051356000000002,3
2024-10-08,(not set),Portugal,desktop,(direct),(none),2,2,2,2,1,191.696622,2
2024-10-08,Belo Horizonte,Brazil,desktop,(direct),(none),2,2,2,2,2,700.658084,2
2024-10-08,Blumenau,Brazil,desktop,youtube.com,referral,2,2,2,2,2,364.2093815,2
2024-10-08,Camacari,Brazil,desktop,youtube.com,referral,2,2,2,2,1,795.476346,2
2024-10-08,Campinas,Brazil,desktop,youtube.com,referral,2,2,2,2,2,1519.135899,2
2024-10-08,Curitiba,Brazil,desktop,8nwyj3ffk1h.typeform.com,referral,2,2,2,2,1,626.347533,2
2024-10-08,Fortaleza,Brazil,desktop,(direct),(none),2,2,2,2,1,250.209466,5
2024-10-08,Franco da Rocha,Brazil,desktop,youtube.com,referral,2,2,2,2,2,340.5104005,2
2024-10-08,Itupeva,Brazil,desktop,youtube.com,referral,2,2,2,2,2,207.246583,5
2024-10-08,Natal,Brazil,desktop,youtube.com,referral,2,2,2,2,1,696.375792,2
2024-10-08,Osasco,Brazil,desktop,(direct),(none),2,2,2,2,1,361.8433835,2
2024-10-08,Peruibe,Brazil,desktop,youtube.com,referral,2,2,2,2,2,350.0747285,5
2024-10-08,Recife,Brazil,desktop,zapflow.me,referral,2,2,2,2,1,276.53783450000003,4
2024-10-08,Rio de Janeiro,Brazil,desktop,zapflow.me,referral,2,1,2,2,0,3.5751885,2
2024-10-08,Sao Pedro da Aldeia,Brazil,desktop,youtube.com,referral,2,2,2,2,2,299.5116475,3
2024-10-08,Serra,Brazil,desktop,youtube.com,referral,2,2,2,2,1,9.232155,2
2024-10-08,Suzano,Brazil,desktop,(direct),(none),2,2,2,2,2,476.7829915,3
2024-10-08,Valinhos,Brazil,desktop,youtube.com,referral,2,2,2,3,1,270.55408800000004,4
2024-10-08,Vitoria,Brazil,desktop,zapflow.me,referral,2,2,2,2,2,268.592809,3
2024-10-08,(not set),Brazil,desktop,(direct),(none),1,1,1,1,1,178.636997,1
2024-10-08,(not set),India,desktop,youtube.com,referral,1,0,1,1,1,45.724838,2
2024-10-08,(not set),Peru,desktop,youtube.com,referral,1,1,1,1,0,7.559384,1
2024-10-08,(not set),Portugal,desktop,8nwyj3ffk1h.typeform.com,referral,1,0,1,1,0,0.0,0
2024-10-08,(not set),United States,mobile,(direct),(none),1,1,1,1,0,0.004906,1
2024-10-08,Amsterdam,Netherlands,mobile,(direct),(none),1,1,1,1,1,20.318985,1
2024-10-08,Aracaju,Brazil,desktop,(direct),(none),1,1,1,1,0,0.024859,1
2024-10-08,Aracaju,Brazil,desktop,youtube.com,referral,1,0,1,1,0,0.0,1
2024-10-08,Aracariguama,Brazil,desktop,youtube.com,referral,1,1,1,1,1,343.447694,1
2024-10-08,Araruama,Brazil,desktop,youtube.com,referral,1,1,1,1,1,996.477007,1
2024-10-08,Atlanta,United States,mobile,(direct),(none),1,1,1,1,1,66.316003,2
2024-10-08,Atlanta,United States,mobile,youtube.com,referral,1,1,1,1,0,6.054384,1
2024-10-08,Atlanta,United States,mobile,zapflow.me,referral,1,1,1,1,1,34.912838,2
2024-10-08,Balneario Camboriu,Brazil,desktop,(direct),(none),1,1,1,1,1,297.584053,2
2024-10-08,Balneario Camboriu,Brazil,desktop,8nwyj3ffk1h.typeform.com,referral,1,1,1,1,0,6.601651,1
2024-10-08,Barbacena,Brazil,desktop,8nwyj3ffk1h.typeform.com,referral,1,1,1,1,1,10.149541,1
2024-10-08,Barbacena,Brazil,desktop,youtube.com,referral,1,1,1,1,1,918.645922,2
2024-10-08,Barueri,Brazil,desktop,youtube.com,referral,1,1,1,1,1,65.730688,1
2024-10-08,Belem,Brazil,desktop,(direct),(none),1,1,1,1,1,87.926473,1
2024-10-08,Belem,Brazil,desktop,8nwyj3ffk1h.typeform.com,referral,1,1,1,1,0,6.074143,1
2024-10-08,Belem,Brazil,mobile,(direct),(none),1,1,1,1,1,710.19535,1
2024-10-08,Belo Horizonte,Brazil,mobile,(direct),(none),1,1,1,1,1,26.940267,1
2024-10-08,Blumenau,Brazil,desktop,(direct),(none),1,1,1,2,1,35.5820355,2
2024-10-08,Bogota,Colombia,desktop,youtube.com,referral,1,0,1,1,1,87.066878,1
2024-10-08,Brasilia,Brazil,desktop,(direct),(none),1,1,1,1,0,0.0,1
2024-10-08,Brasilia,Brazil,desktop,8nwyj3ffk1h.typeform.com,referral,1,1,1,1,1,219.501432,1
2024-10-08,Brasilia,Brazil,mobile,(direct),(none),1,1,1,1,0,0.0073,1
2024-10-08,Brasilia,Brazil,mobile,8nwyj3ffk1h.typeform.com,referral,1,1,1,1,0,5.966323,1
2024-10-08,Camacari,Brazil,desktop,(direct),(none),1,1,1,1,1,558.934916,2
2024-10-08,Campina Grande,Brazil,desktop,8nwyj3ffk1h.typeform.com,referral,1,1,1,1,0,0.001828,1
